2020-08-13 19:09:56 [ERROR pid is 0 ,need create
2020-08-14 14:09:25 [ERROR error getting mining info => connection outage...                               
2020-08-14 14:09:33 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-14 14:10:25 [ERROR outage resolved.                                                                
2020-08-14 14:44:43 [WARN] not enough nonces for using direct io: plot=199040970012233_12284_0
2020-08-14 14:44:43 [WARN] not enough nonces for using direct io: plot=199040970012233_12284_0
2020-08-14 14:46:48 [WARN] not enough nonces for using direct io: plot=199040970012233_12284_0
2020-08-14 14:46:48 [WARN] not enough nonces for using direct io: plot=199040970012233_12284_0
2020-08-14 14:48:29 [WARN] not enough nonces for using direct io: plot=199040970012233_12284_0
2020-08-14 14:48:29 [WARN] not enough nonces for using direct io: plot=199040970012233_12284_0
2020-08-14 14:54:55 [WARN] not enough nonces for using direct io: plot=199040970012233_12284_0
2020-08-14 14:54:55 [WARN] not enough nonces for using direct io: plot=199040970012233_12284_0
2020-08-14 14:54:55 [WARN] not enough nonces for using direct io: plot=199040970012233_12284_0
2020-08-14 14:55:13 [WARN] not enough nonces for using direct io: plot=199040970012233_12284_0
2020-08-14 14:55:55 [WARN] not enough nonces for using direct io: plot=199040970012233_12284_0
2020-08-14 14:58:43 [WARN] not enough nonces for using direct io: plot=199040970012233_12284_0
2020-08-14 14:59:49 [WARN] not enough nonces for using direct io: plot=199040970012233_12284_0
2020-08-14 14:59:58 [WARN] not enough nonces for using direct io: plot=199040970012233_12284_0
2020-08-14 15:00:07 [WARN] not enough nonces for using direct io: plot=199040970012233_12284_0
2020-08-14 18:12:17 [ERROR pid,mnemonic,mac is 0 ,need create
2020-08-19 19:09:07 [ERROR error getting mining info => connection outage...                               
2020-08-19 19:09:57 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 19:10:57 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 19:11:57 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 19:12:57 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 19:13:58 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 19:14:58 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 19:15:58 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 19:16:58 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 19:17:58 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 19:18:58 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 19:19:58 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 19:20:58 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 19:21:58 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 19:22:58 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 19:23:58 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 19:24:58 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 19:25:58 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 19:26:58 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 19:27:58 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 19:28:58 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 19:29:58 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 19:30:58 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 19:31:58 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 19:32:58 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 19:33:58 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 19:34:58 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 19:35:58 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 19:36:58 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 19:37:58 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 19:38:58 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 19:39:58 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 19:40:58 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 19:41:58 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 19:42:58 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 19:43:58 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 19:44:58 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 19:45:58 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 19:46:58 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 19:47:58 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 19:48:58 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 19:49:58 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 19:50:58 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 19:51:58 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 19:52:58 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 19:53:58 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 19:54:58 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 19:55:58 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 19:56:58 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 19:57:58 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 19:58:58 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 19:59:58 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 20:00:58 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 20:01:58 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 20:02:58 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 20:03:58 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 20:04:58 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 20:05:58 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 20:06:58 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 20:07:58 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 20:08:59 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 20:09:59 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 20:10:59 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 20:11:59 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 20:12:59 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 20:13:59 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 20:14:59 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 20:15:59 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 20:16:59 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 20:17:59 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 20:18:59 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 20:19:59 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 20:20:59 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 20:21:59 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 20:22:59 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 20:23:59 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 20:24:59 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 20:25:59 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 20:26:59 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 20:27:59 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 20:28:59 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 20:29:59 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 20:30:59 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 20:31:59 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 20:32:59 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 20:33:59 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 20:34:59 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 20:35:59 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 20:36:59 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 20:37:59 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 20:38:59 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 20:39:59 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 20:40:59 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 20:41:59 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 20:42:59 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 20:43:59 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 20:44:59 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 20:45:59 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 20:46:59 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 20:47:59 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 20:48:59 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 20:49:59 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 20:50:59 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 20:51:59 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 20:52:59 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 20:53:59 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 20:54:59 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 20:55:59 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 20:56:59 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 20:57:59 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 20:58:59 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 20:59:59 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 21:00:59 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 21:01:59 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 21:02:59 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 21:04:00 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 21:05:00 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 21:06:00 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 21:07:00 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 21:08:00 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 21:09:00 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 21:10:00 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 21:11:00 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 21:12:00 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 21:13:00 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 21:14:00 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 21:15:00 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 21:16:00 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 21:17:00 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
